acute_SC,acute_T,no_infection,chronic_SC,chronic_T,chronic_TF,CC_SC,CC_T,CC_TF,DCC_SC,DCC_T,DCC_TF,HCC,HCV_death,death,Age
0,0,0.534980798917131,0.0121052620230181,0.00135998899258714,0.0138779323379776,0.000460733471295171,0.000155283124299545,0.00164113829494686,3.12305417926789e-05,2.45598458177553e-05,0.000446487995940516,0.000172274646763468,0.0073587728001156,0.427385537008315,70
0,0,0.502915911826594,0.0101014628687704,0.00113486831465795,0.0129311948736461,0.000384472669634847,0.000129581288801767,0.00153510551004835,2.6061468462099e-05,2.04950430514456e-05,0.000419416567561913,0.000159129594696395,0.00752828232878709,0.462714017645288,71
0,0,0.472628071163231,0.00842935509327424,0.000947012143947224,0.0120428391991584,0.000320833372753857,0.000108132938334801,0.00143467234415035,2.17478101604571e-05,1.71028386782525e-05,0.000393474152262158,0.000147056887586673,0.00768582815955479,0.495823873896908,72
0,0,0.444043787520134,0.00703403340799069,0.00079025203999446,0.0112103611642172,0.000267727162742198,9.02343860870222e-05,0.00133976530110262,1.81480623638902e-05,1.42720004178e-05,0.000368707897769835,0.000135956787806855,0.00783223675099423,0.526854517518379,73
0,0,0.417087945023727,0.00586968106542423,0.000659440631999127,0.0104311498063224,0.000223410978062524,7.52982645212432e-05,0.00125026355915916,1.51441057356132e-05,1.19096659263029e-05,0.000345141949863386,0.00012574084129226,0.00796827873142387,0.555936595376543,74
0,0,0.373510751475298,0.00467079518600269,0.000524749487248926,0.00925234499590717,0.000177779730302019,5.9918824316369e-05,0.00111190781931893,1.20509777215125e-05,9.47718136934676e-06,0.000307804915895647,0.000110932588474948,0.00808880809704609,0.602162678721099,75
0,0,0.334423219586066,0.00371678246678453,0.000417569089628641,0.00820406516773129,0.000141468439573938,4.76805236670014e-05,0.000988306963560705,9.58959471410318e-06,7.5415018581225e-06,0.000274278230232743,9.7896287571569e-05,0.00819558103023652,0.643476021118376,76
0,0,0.299375899804043,0.00295762741787431,0.000332280352530537,0.0072724208213987,0.000112573609437357,3.79418354937303e-05,0.000878001879148328,7.63093475403809e-06,6.00116837208577e-06,0.000244220496060794,8.64137148917261e-05,0.00829015667537326,0.680398831290623,77
0,0,0.267961580921402,0.00235353024319703,0.000264411891157964,0.00644488015973092,8.95804855319465e-05,3.01922420510991e-05,0.000779653298366949,6.07232330588669e-06,4.77543896907704e-06,0.000217310514081043,7.62948582827154e-05,0.00837391905769688,0.713397798566227,78
0,0,0.239811916414384,0.00187282027890589,0.000210405603741815,0.00571016312284341,7.12836758317426e-05,2.4025486219668e-05,0.000692037588576525,4.83205413466515e-06,3.80005992482389e-06,0.000193248663326858,6.73739912780075e-05,0.0084480965627417,0.742889996498091,79
0,0,0.199351755003628,0.00138444128277606,0.000155537724163134,0.0046988623710081,5.26949231424555e-05,1.77603278334787e-05,0.000570426349105532,3.57199336023214e-06,2.80911467118758e-06,0.000159557642774616,5.52796674053267e-05,0.00850911387585266,0.78503818972428,80
0,0,0.165700576682334,0.00102341782980605,0.000114977848534552,0.00386593744592775,3.89535812169005e-05,1.31289401009428e-05,0.000470029129442559,2.64051946772366e-06,2.07657833997095e-06,0.000131675593250158,4.53631703911467e-05,0.0085593009171306,0.820031921764058,81
0,0,0.137717040356638,0.000756539166662755,8.49948507653921e-05,0.00318011823246612,2.87955882221744e-05,9.70528476019075e-06,0.000387185723576806,1.95194698918137e-06,1.53506599256115e-06,0.00010861764547211,3.72304331329548e-05,0.00860057618572565,0.849085709519597,82
0,0,0.114449929184306,0.000559254972920733,6.28305777913418e-05,0.00261556563312845,2.12865108930078e-05,7.17442080555475e-06,0.000318856951149845,1.44293445418838e-06,1.13476438216059e-06,8.95615524822401e-05,3.0559223811021e-05,0.00863451918133175,0.873207884092545,83
0,0,0.0951067936820624,0.000413416963084996,4.64461255010669e-05,0.00215094179821452,1.57355882214907e-05,5.30353418899289e-06,0.000262522045802347,1.06665787800504e-06,8.38849944942412e-07,7.38219899315721e-05,2.50859045694911e-05,0.00866243012297823,0.893235596737623,84
0,0,0.0685604403680584,0.000265131347185629,2.9786692190274e-05,0.00153437949806299,1.00915020543951e-05,3.40124739407521e-06,0.00018747076964144,6.84065999501288e-07,5.3796890077184e-07,5.27718363670174e-05,1.78668998563693e-05,0.00868233957420496,0.920655098230085,85
0,0,0.0494208818263964,0.000170033253439613,1.91027135647245e-05,0.00109443276922864,6.47185279792847e-06,2.1812781690575e-06,0.000133848675223261,4.38703241377829e-07,3.45008686848474e-07,3.77129230496175e-05,1.27262771108731e-05,0.00869654035530627,0.940405284363786,86
0,0,0.0356225498659815,0.000109045224497795,1.22508959103241e-05,0.000780553058572883,4.15050975789379e-06,1.39889098227224e-06,9.55466809070857e-05,2.81347892449251e-07,2.21259979788908e-07,2.69439900975773e-05,9.06529553038889e-06,0.00870666862509075,0.9546313243548,87
0,0,0.0256755415632477,6.99325616915137e-05,7.85670842506614e-06,0.000556643543961212,2.66179277083591e-06,8.97132684168743e-07,6.81939135475554e-05,1.80433211241219e-07,1.4189780955678e-07,1.9245462117852e-05,6.45783855798151e-06,0.00871389183505535,0.964878355316921,88
0,0,0.0185053166072164,4.48489441629445e-05,5.03864106987356e-06,0.000396933032937402,1.70705313149146e-06,5.75346507416181e-07,4.86643408525241e-05,1.15714899672029e-07,9.10014900895087e-08,1.37435651784112e-05,4.6005917596521e-06,0.00871904292285125,0.972259322237944,89
0,0,0.0133369855378913,2.87623925661943e-05,3.23136642694015e-06,0.000283025874523395,1.09476229844802e-06,3.6897953437188e-07,3.47230114362943e-05,7.42099403305133e-08,5.83608096495878e-08,9.81259878931066e-06,3.27761990032704e-06,0.00872271611038251,0.977575869175502,90
0,0,0.00961180237336772,1.84458127514937e-05,2.0723303843943e-06,0.000201793431001101,7.0208973675507e-07,2.3663287080954e-07,2.47725508221259e-05,4.75921010264892e-08,3.74277834056944e-08,7.00471270627955e-06,2.33517427899438e-06,0.00872533528409937,0.981405414588097,91
0,0,0.0069269096560176,1.18296142186403e-05,1.32902080874512e-06,0.000143867508900992,4.50262122924944e-07,1.51756696599608e-07,1.76715991171777e-05,3.05216262934478e-08,2.40030761527098e-08,4.99948836513111e-06,1.66377116015554e-06,0.00872720279907182,0.984163869998818,92
0,0,0.0049918683918492,7.58653329333645e-06,8.52323704453034e-07,0.000102564196196005,2.88760778268326e-07,9.73241578702267e-08,1.26048374243237e-05,1.95740395444437e-08,1.53935822211004e-08,3.5677658537565e-06,1.18543982584364e-06,0.00872853430748755,0.986150815151808,93
0,0,0.0035973017230701,4.86537315140932e-06,5.46609723784891e-07,7.3115335783723e-05,1.85187211322372e-07,6.24156422226987e-08,8.98998546754141e-06,1.25531653919704e-08,9.87216684424017e-09,2.54570834450044e-06,8.44647221281328e-07,0.00872948361111725,0.987582036977935,94
0,0,0,0,0,0,0,0,0,0,0,0,0,0.00872948361111725,0.991270516388883,95
